2;1;Precentral Gyrus
3;1;Agranular Frontal Area
4;1;Intermediate Frontal Area
5;1;Magnocellular Agranular Intermediated Frontal
6;1;Granular Frontal Area
7;1;Middle Granular Frontal Area
8;1;Triangular Granular Frontal Area
9;1;Frontalpolar Area
10;1;Orbital Area
11;1;Straight Area
12;1;Prefrontal Area
13;1;Frontal Piriform Area
18;2;Precentral Insular Area
19;2;Postcentral Insular Area
20;3;Precingulate Agranular Anterior Limbic Area
21;3;Cingulate Agranular Anterior Limbic Area
22;3;Dorsal Posterior Cingulate Area
23;3;Ventral Posterior Cingulate Area
24;3;Posterior Limitans Cingulate Area
25;3;Angranular Retrosplenial Area
27;4;Peristriate Occipital Area 
28;4;Parastriate Occipital Area 
29;4;Striate Occipital Area 
30;5;Postcentral-Postparacentral Giant Pyrimidal Area
31;5;Oral Postcentral Area Simplex-Granulosa
32;5;Intermediate Postcentral Area
33;5;Caudal Postcentral Area
34;5;Superior Parietal Area
35;5;Supramarginal Area
36;5;Angular Area
37;5;Basal temporo-occipital parietal area
38;6;Superior Temporal Area
39;6;Supratemporal Area Simplex
40;6;Supratempral Area Granulosa
41;6;Intercalated Supratemporal Area
42;6;Temporal Area Proper
43;6;Fusiform Area
44;6;Temporopolar Area
