,atlas_x,Hemisphere,Lobe,Thickness at 10y.o.,Thickness at 80y.o.,Curvature,Layer I thickness,Layer II thickness,Layer III thickness,Layer IV thickness,Layer V thickness,Layer VI thickness,bigbrain_layer_1,bigbrain_layer_2,bigbrain_layer_3,bigbrain_layer_4,bigbrain_layer_5,bigbrain_layer_6,Global thinning,Global thinning normalized,structure,r2_spatial,r2_temporal,r2_complete,structure_name,atlas_y
0,10.0,0.0,1.0,3.06,2.44,-0.31337503,0.28178433,0.22960205,0.7514249,0.17741975,0.594878,0.65749675,0.10465117,0.08527132,0.27906978,0.065891474,0.22093025,0.24418604,0.6199999,0.20261435,10.0,0.8302210716354825,0.9126711785543027,0.9421321035918336,Orbital Area,10.0
1,10.0,1.0,1.0,3.15,2.47,-0.46941337,0.28928307,0.23571214,0.77142155,0.1821412,0.6107087,0.6749939,0.10465117,0.08527132,0.27906978,0.065891474,0.22093025,0.24418604,0.68000007,0.21587303,10.0,0.8302210716354825,0.9126711785543027,0.9421321035918336,Orbital Area,10.0
2,11.0,0.0,1.0,2.8,2.32,-3.6347497,0.30136973,0.2343987,0.6585487,0.1785895,0.5246066,0.569254,0.12217195,0.095022626,0.26696834,0.07239819,0.21266969,0.23076923,0.48000002,0.17142858,11.0,0.6578073196171317,0.874947882052735,0.8511334910476953,Straight Area,11.0
3,11.0,1.0,1.0,2.7,2.44,-4.3881617,0.29626623,0.23042929,0.6473966,0.17556518,0.5157227,0.559614,0.12217195,0.095022626,0.26696834,0.07239819,0.21266969,0.23076923,0.26,0.09629629,11.0,0.6578073196171317,0.874947882052735,0.8511334910476953,Straight Area,11.0
4,12.0,0.0,1.0,2.82,2.39,0.7265666,0.3032761,0.25436062,0.69460005,0.1858789,0.49893808,0.5282874,0.123015866,0.103174604,0.28174603,0.07539683,0.20238097,0.2142857,0.42999983,0.15248221,12.0,0.3929963011443316,0.7543837454899973,0.9419013279056883,Prefrontal Area,12.0
5,12.0,1.0,1.0,2.94,2.57,-0.5939791,0.3117887,0.26150018,0.71409667,0.1910963,0.5129427,0.5431158,0.123015866,0.103174604,0.28174603,0.07539683,0.20238097,0.2142857,0.37000012,0.12585038,12.0,0.3929963011443316,0.7543837454899973,0.9419013279056883,Prefrontal Area,12.0
6,13.0,0.0,1.0,3.64,2.78,3.890253,0.3680572,0.29682034,0.9379522,0.18996501,0.77173287,0.79547846,0.10954063,0.088339224,0.27915195,0.056537103,0.229682,0.2367491,0.86000013,0.23626377,13.0,-0.01,0.7565719287088578,0.5530793827905716,Frontal Piriform Area,13.0
7,13.0,1.0,1.0,3.47,2.63,2.5644164,0.35584712,0.2869735,0.9068362,0.18366304,0.74613106,0.7690889,0.10954063,0.088339224,0.27915195,0.056537103,0.229682,0.2367491,0.8399999,0.2420749,13.0,-0.01,0.7565719287088578,0.5530793827905716,Frontal Piriform Area,13.0
8,18.0,0.0,2.0,3.48,2.68,5.3218493,0.3596819,0.28562975,0.8568891,0.16926207,0.69820607,0.74052155,0.11564626,0.091836736,0.2755102,0.054421764,0.22448978,0.23809524,0.79999995,0.22988504,18.0,0.8484024866047273,0.9010625187252778,0.923373537006958,Precentral Insular Area,18.0
9,18.0,1.0,2.0,3.58,2.72,5.092261,0.3682856,0.29246208,0.8773863,0.17331086,0.7149073,0.7582351,0.11564626,0.091836736,0.2755102,0.054421764,0.22448978,0.23809524,0.8599999,0.24022344,18.0,0.8484024866047273,0.9010625187252778,0.923373537006958,Precentral Insular Area,18.0
10,19.0,0.0,2.0,3.4299998,2.53,7.0723114,0.36996633,0.27203405,0.8378649,0.1741018,0.70728856,0.72905123,0.11971831,0.08802817,0.27112675,0.05633803,0.22887322,0.2359155,0.89999986,0.26239064,19.0,0.6611150603448721,0.8310506601277736,0.971947203599516,Postcentral Insular Area,19.0
11,19.0,1.0,2.0,3.58,2.51,6.7972565,0.3778696,0.2778453,0.85576344,0.17782098,0.7223977,0.7446254,0.11971831,0.08802817,0.27112675,0.05633803,0.22887322,0.2359155,1.0699999,0.29888266,19.0,0.6611150603448721,0.8310506601277736,0.971947203599516,Postcentral Insular Area,19.0
12,2.0,0.0,1.0,2.78,2.16,-0.04741816,0.2573492,0.21297865,0.7365511,0.15085986,0.5945654,0.6389359,0.09931507,0.08219178,0.28424656,0.058219176,0.22945206,0.24657533,0.6199999,0.22302154,2.0,-0.01,-0.01,-0.01,Precentral Gyrus,2.0
13,2.0,1.0,1.0,2.83,2.37,-1.492471,0.26265925,0.21737318,0.7517489,0.15397267,0.60683346,0.6521195,0.09931507,0.08219178,0.28424656,0.058219176,0.22945206,0.24657533,0.46000004,0.16254419,2.0,-0.01,-0.01,-0.01,Precentral Gyrus,2.0
14,20.0,0.0,3.0,3.17,2.51,3.1092153,0.3491867,0.27033806,0.7659579,0.1576972,0.6082607,0.64205295,0.125,0.09677419,0.27419356,0.05645161,0.21774194,0.2298387,0.6600001,0.20820192,20.0,0.5323016328326342,0.8153326775832961,0.8940274863562616,Precingulate Agranular Anterior Limbic Area,20.0
15,20.0,1.0,3.0,3.2400002,2.57,1.7047589,0.35242075,0.27284187,0.773052,0.15915775,0.61389416,0.6479994,0.125,0.09677419,0.27419356,0.05645161,0.21774194,0.2298387,0.6700003,0.20679021,20.0,0.5323016328326342,0.8153326775832961,0.8940274863562616,Precingulate Agranular Anterior Limbic Area,20.0
16,21.0,0.0,3.0,3.19,2.62,0.121083915,0.31124222,0.25566328,0.75587404,0.15562111,0.6447161,0.7114109,0.10980393,0.09019608,0.26666668,0.054901965,0.227451,0.2509804,0.5700002,0.17868343,21.0,0.36415262636579326,0.5623317383762111,0.7515496086844972,Cingulate Agranular Anterior Limbic Area,21.0
17,21.0,1.0,3.0,2.81,2.45,0.00596218,0.28434744,0.2335711,0.6905581,0.14217372,0.58900535,0.64993703,0.10980393,0.09019608,0.26666668,0.054901965,0.227451,0.2509804,0.3599999,0.12811385,21.0,0.36415262636579326,0.5623317383762111,0.7515496086844972,Cingulate Agranular Anterior Limbic Area,21.0
18,22.0,0.0,3.0,3.08,2.39,2.6452098,0.28069192,0.2375085,0.76650476,0.20512101,0.5721797,0.59377134,0.10569106,0.08943089,0.28861788,0.07723577,0.21544716,0.22357723,0.6899998,0.22402592,22.0,0.738419004913462,0.8906866176508934,0.9595498093209964,Dorsal Posterior Cingulate Area,22.0
19,22.0,1.0,3.0,3.18,2.42,1.9074161,0.2933843,0.24824825,0.8011648,0.21439621,0.5980526,0.6206206,0.10569106,0.08943089,0.28861788,0.07723577,0.21544716,0.22357723,0.76,0.2389937,22.0,0.738419004913462,0.8906866176508934,0.9595498093209964,Dorsal Posterior Cingulate Area,22.0
20,23.0,0.0,3.0,3.6,2.77,-0.6727386,0.33073598,0.26948857,0.90646154,0.19599168,0.71046984,0.73496884,0.10505836,0.08560311,0.28793773,0.062256806,0.22568092,0.23346302,0.8299999,0.23055553,23.0,-0.01,0.8282804597863103,0.6546595598363356,Ventral Posterior Cingulate Area,23.0
21,23.0,1.0,3.0,3.03,2.81,-1.5403349,0.30107653,0.2453216,0.8251727,0.17841573,0.646757,0.6690589,0.10505836,0.08560311,0.28793773,0.062256806,0.22568092,0.23346302,0.22000003,0.07260727,23.0,-0.01,0.8282804597863103,0.6546595598363356,Ventral Posterior Cingulate Area,23.0
22,24.0,0.0,3.0,2.26,2.04,0.32302886,0.2002017,0.15215328,0.62462926,0.08808874,0.592597,0.58458894,0.08928572,0.067857146,0.27857143,0.039285716,0.2642857,0.2607143,0.22000003,0.09734514,24.0,-0.01,-0.01,-0.01,Posterior Limitans Cingulate Area,24.0
23,24.0,1.0,3.0,2.3,2.07,0.06618381,0.20387214,0.15494284,0.63608104,0.089703746,0.60346156,0.5953067,0.08928571,0.067857146,0.27857143,0.039285716,0.2642857,0.2607143,0.23000002,0.10000001,24.0,-0.01,-0.01,-0.01,Posterior Limitans Cingulate Area,24.0
24,25.0,0.0,3.0,3.03,2.52,-2.7664342,0.3068923,0.21920879,0.74530995,0.1644066,0.56994283,0.55898243,0.11965813,0.08547009,0.2905983,0.06410257,0.22222224,0.21794872,0.51,0.16831683,25.0,0.4205275101211232,0.7076144471128425,0.8125527581270171,Angranular Retrosplenial Area,25.0
25,25.0,1.0,3.0,2.89,1.93,-1.2617807,0.28754228,0.20538735,0.698317,0.15404052,0.53400713,0.5237377,0.11965813,0.08547009,0.2905983,0.06410257,0.22222224,0.21794872,0.96000016,0.33217996,25.0,0.4205275101211232,0.7076144471128425,0.8125527581270171,Angranular Retrosplenial Area,25.0
26,27.0,0.0,4.0,2.29,1.8300002,-0.41494864,0.23518892,0.20805173,0.597018,0.20805173,0.4070577,0.41610345,0.11353712,0.10043667,0.28820962,0.10043667,0.19650654,0.20087335,0.4599998,0.20087329,27.0,0.38095594755242435,0.8495554372367158,0.7279573085712776,Peristriate Occipital Area ,27.0
